ID,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,LOCATION,WINDSPEED
116,2019,8,16,15,15,50,Norwood,30.75
117,2019,8,16,15,15,60,Norwood,31.57
118,2019,8,16,15,30,0,Norwood,33.080002
119,2019,8,16,15,30,10,Norwood,34.75
120,2019,8,16,15,30,20,Norwood,33.509998
121,2019,8,16,15,30,30,Norwood,34.549999
122,2019,8,16,15,30,40,Norwood,34.700001
123,2019,8,16,15,30,50,Norwood,34.060001
124,2019,8,16,15,30,60,Norwood,33.950001
125,2019,8,16,15,45,0,Norwood,35.73
126,2019,8,16,15,45,10,Norwood,37.439999
127,2019,8,16,15,45,20,Norwood,36.349998
128,2019,8,16,15,45,30,Norwood,35.709999
129,2019,8,16,15,45,40,Norwood,35.619999
130,2019,8,16,15,45,50,Norwood,35.950001
131,2019,8,16,15,45,60,Norwood,35.459999
132,2019,8,16,15,60,0,Norwood,36.529999
133,2019,8,16,15,60,10,Norwood,37.91
134,2019,8,16,15,60,20,Norwood,38.439999
135,2019,8,16,15,60,30,Norwood,37.439999
136,2019,8,16,15,60,40,Norwood,38.509998
137,2019,8,16,15,60,50,Norwood,38.080002
138,2019,8,16,15,60,60,Norwood,36.790001
139,2019,8,16,20,0,0,Norwood,37.990002
140,2019,8,16,20,0,10,Norwood,36.900002
141,2019,8,16,20,0,20,Norwood,38.57
142,2019,8,16,20,0,30,Norwood,38.59
143,2019,8,16,20,0,40,Norwood,37.369999
144,2019,8,16,20,0,50,Norwood,37.330002
145,2019,8,16,20,0,60,Norwood,36.439999
146,2019,8,16,20,15,0,Norwood,37.299999
147,2019,8,16,20,15,10,Norwood,37.040001
148,2019,8,16,20,15,20,Norwood,38.349998
149,2019,8,16,20,15,30,Norwood,38.310001
150,2019,8,16,20,15,40,Norwood,37.48
151,2019,8,16,20,15,50,Norwood,38.950001
152,2019,8,16,20,15,60,Norwood,39
153,2019,8,16,20,30,0,Norwood,39.200001
154,2019,8,16,20,30,10,Norwood,39.619999
155,2019,8,16,20,30,20,Norwood,37.66
156,2019,8,16,20,30,30,Norwood,36.439999
157,2019,8,16,20,30,40,Norwood,37.549999
158,2019,8,16,20,30,50,Norwood,37.150002
159,2019,8,16,20,30,60,Norwood,36.099998
160,2019,8,16,20,45,0,Norwood,34.369999
161,2019,8,16,20,45,10,Norwood,35.330002
162,2019,8,16,20,45,20,Norwood,34.040001
163,2019,8,16,20,45,30,Norwood,35.220001
164,2019,8,16,20,45,40,Norwood,36.799999
165,2019,8,16,20,45,50,Norwood,37.060001
166,2019,8,16,20,45,60,Norwood,38.91
167,2019,8,16,20,60,0,Norwood,37.48
168,2019,8,16,20,60,10,Norwood,36.970001
169,2019,8,16,20,60,20,Norwood,38.310001
170,2019,8,16,20,60,30,Norwood,37.91
171,2019,8,16,20,60,40,Norwood,36.330002
172,2019,8,16,20,60,50,Norwood,35.080002
173,2019,8,16,20,60,60,Norwood,33.200001
174,2019,8,16,25,0,0,Norwood,35.189999
175,2019,8,16,25,0,10,Norwood,35.299999
176,2019,8,16,25,0,20,Norwood,37.169998
177,2019,8,16,25,0,30,Norwood,38.169998
178,2019,8,16,25,0,40,Norwood,39.549999
179,2019,8,16,25,0,50,Norwood,39.990002
180,2019,8,16,25,0,60,Norwood,38.299999
181,2019,8,16,25,15,0,Norwood,37.93
182,2019,8,16,25,15,10,Norwood,36.75
183,2019,8,16,25,15,20,Norwood,38.040001
184,2019,8,16,25,15,30,Norwood,39.880001
185,2019,8,16,25,15,40,Norwood,39.310001
186,2019,8,16,25,15,50,Norwood,38.330002
187,2019,8,16,25,15,60,Norwood,36.950001
188,2019,8,16,25,30,0,Norwood,36.099998
189,2019,8,16,25,30,10,Norwood,34.619999
190,2019,8,16,25,30,20,Norwood,34.799999
191,2019,8,16,25,30,30,Norwood,35.169998
192,2019,8,16,25,30,40,Norwood,34.5
193,2019,8,16,25,30,50,Norwood,35.400002
194,2019,8,16,25,30,60,Norwood,35.310001
195,2019,8,16,25,45,0,Norwood,37.259998
196,2019,8,16,25,45,10,Norwood,36.59
197,2019,8,16,25,45,20,Norwood,35.279999
198,2019,8,16,25,45,30,Norwood,34.040001
199,2019,8,16,25,45,40,Norwood,34.439999
200,2019,8,16,25,45,50,Norwood,35.220001
201,2019,8,16,25,45,60,Norwood,35.5
202,2019,8,16,25,60,0,Norwood,33.619999
203,2019,8,16,25,60,10,Norwood,31.639999
204,2019,8,16,25,60,20,Norwood,32.459999
205,2019,8,16,25,60,30,Norwood,33.110001
206,2019,8,16,25,60,40,Norwood,32.060001
207,2019,8,16,25,60,50,Norwood,30.48
208,2019,8,16,25,60,60,Norwood,31.5
209,2019,8,17,0,0,0,Norwood,29.969999
210,2019,8,17,0,0,10,Norwood,31.799999
211,2019,8,17,0,0,20,Norwood,32.549999
212,2019,8,17,0,0,30,Norwood,32.549999
213,2019,8,17,0,0,40,Norwood,33.880001
214,2019,8,17,0,0,50,Norwood,32.549999
215,2019,8,17,0,0,60,Norwood,31.59
216,2019,8,17,0,15,0,Norwood,32.84
217,2019,8,17,0,15,10,Norwood,31.4
218,2019,8,17,0,15,20,Norwood,32.310001
219,2019,8,17,0,15,30,Norwood,34.110001
220,2019,8,17,0,15,40,Norwood,34.080002
221,2019,8,17,0,15,50,Norwood,32.400002
222,2019,8,17,0,15,60,Norwood,33.549999
223,2019,8,17,0,30,0,Norwood,32.529999
224,2019,8,17,0,30,10,Norwood,34.080002
225,2019,8,17,0,30,20,Norwood,32.990002
226,2019,8,17,0,30,30,Norwood,33.860001
227,2019,8,17,0,30,40,Norwood,34.200001
228,2019,8,17,0,30,50,Norwood,33.790001
229,2019,8,17,0,30,60,Norwood,33.93
230,2019,8,17,0,45,0,Norwood,35.130001
231,2019,8,17,0,45,10,Norwood,33.330002
232,2019,8,17,0,45,20,Norwood,34.419998
233,2019,8,17,0,45,30,Norwood,32.709999
234,2019,8,17,0,45,40,Norwood,34.220001
235,2019,8,17,0,45,50,Norwood,33.259998
236,2019,8,17,0,45,60,Norwood,33.84
237,2019,8,17,0,60,0,Norwood,33.419998
238,2019,8,17,0,60,10,Norwood,33.93
239,2019,8,17,0,60,20,Norwood,32.150002
240,2019,8,17,0,60,30,Norwood,30.17
241,2019,8,17,0,60,40,Norwood,32.150002
242,2019,8,17,0,60,50,Norwood,32.330002
243,2019,8,17,0,60,60,Norwood,33.299999
244,2019,8,17,5,0,0,Norwood,33.400002
245,2019,8,17,5,0,10,Norwood,34.330002
246,2019,8,17,5,0,20,Norwood,35.529999
247,2019,8,17,5,0,30,Norwood,35.91
248,2019,8,17,5,0,40,Norwood,35.220001
249,2019,8,17,5,0,50,Norwood,35.529999
250,2019,8,17,5,0,60,Norwood,34.02
251,2019,8,17,5,15,0,Norwood,35.48
252,2019,8,17,5,15,10,Norwood,35.330002
253,2019,8,17,5,15,20,Norwood,34.330002
254,2019,8,17,5,15,30,Norwood,33.950001
255,2019,8,17,5,15,40,Norwood,33.66
256,2019,8,17,5,15,50,Norwood,35.349998
257,2019,8,17,5,15,60,Norwood,33.66
258,2019,8,17,5,30,0,Norwood,32.66
259,2019,8,17,5,30,10,Norwood,34.619999
260,2019,8,17,5,30,20,Norwood,33.77
261,2019,8,17,5,30,30,Norwood,34.59
262,2019,8,17,5,30,40,Norwood,33.330002
263,2019,8,17,5,30,50,Norwood,32.099998
264,2019,8,17,5,30,60,Norwood,31.6
265,2019,8,17,5,45,0,Norwood,30.459999
266,2019,8,17,5,45,10,Norwood,31.709999
267,2019,8,17,5,45,20,Norwood,33.66
268,2019,8,17,5,45,30,Norwood,33
269,2019,8,17,5,45,40,Norwood,34.279999
270,2019,8,17,5,45,50,Norwood,32.950001
271,2019,8,17,5,45,60,Norwood,34.66
272,2019,8,17,5,60,0,Norwood,33.200001
273,2019,8,17,5,60,10,Norwood,34.57
274,2019,8,17,5,60,20,Norwood,34.77
275,2019,8,17,5,60,30,Norwood,34.150002
276,2019,8,17,5,60,40,Norwood,35.130001
277,2019,8,17,5,60,50,Norwood,35.419998
278,2019,8,17,5,60,60,Norwood,36.91
279,2019,8,17,10,0,0,Norwood,37.549999
280,2019,8,17,10,0,10,Norwood,38.990002
281,2019,8,17,10,0,20,Norwood,38.240002
282,2019,8,17,10,0,30,Norwood,37.549999
283,2019,8,17,10,0,40,Norwood,38.990002
284,2019,8,17,10,0,50,Norwood,37.75
285,2019,8,17,10,0,60,Norwood,37.439999
286,2019,8,17,10,15,0,Norwood,38.279999
287,2019,8,17,10,15,10,Norwood,37.240002
288,2019,8,17,10,15,20,Norwood,38.91
289,2019,8,17,10,15,30,Norwood,37.950001
290,2019,8,17,10,15,40,Norwood,38.799999
291,2019,8,17,10,15,50,Norwood,37.599998
292,2019,8,17,10,15,60,Norwood,37.880001
293,2019,8,17,10,30,0,Norwood,38.02
294,2019,8,17,10,30,10,Norwood,37.84
295,2019,8,17,10,30,20,Norwood,36.330002
296,2019,8,17,10,30,30,Norwood,35.150002
297,2019,8,17,10,30,40,Norwood,36.349998
298,2019,8,17,10,30,50,Norwood,35.220001
299,2019,8,17,10,30,60,Norwood,37
300,2019,8,17,10,45,0,Norwood,37.700001
301,2019,8,17,10,45,10,Norwood,37.549999
302,2019,8,17,10,45,20,Norwood,36.419998
303,2019,8,17,10,45,30,Norwood,36
304,2019,8,17,10,45,40,Norwood,37.77
305,2019,8,17,10,45,50,Norwood,39.599998
306,2019,8,17,10,45,60,Norwood,37.799999
307,2019,8,17,10,60,0,Norwood,38.279999
308,2019,8,17,10,60,10,Norwood,37.549999
309,2019,8,17,10,60,20,Norwood,39.279999
310,2019,8,17,10,60,30,Norwood,37.599998
311,2019,8,17,10,60,40,Norwood,36.619999
312,2019,8,17,10,60,50,Norwood,35.389999
313,2019,8,17,10,60,60,Norwood,35.040001
314,2019,8,17,15,0,0,Norwood,35.700001
315,2019,8,17,15,0,10,Norwood,34.099998
316,2019,8,17,15,0,20,Norwood,35.700001
317,2019,8,17,15,0,30,Norwood,37.59
318,2019,8,17,15,0,40,Norwood,36.349998
319,2019,8,17,15,0,50,Norwood,36.84
320,2019,8,17,15,0,60,Norwood,38.619999
321,2019,8,17,15,15,0,Norwood,37.150002
322,2019,8,17,15,15,10,Norwood,35.259998
323,2019,8,17,15,15,20,Norwood,35.549999
324,2019,8,17,15,15,30,Norwood,34.57
325,2019,8,17,15,15,40,Norwood,34.799999
326,2019,8,17,15,15,50,Norwood,35.509998
327,2019,8,17,15,15,60,Norwood,37.200001
328,2019,8,17,15,30,0,Norwood,37.48
329,2019,8,17,15,30,10,Norwood,36.330002
330,2019,8,17,15,30,20,Norwood,34.57
331,2019,8,17,15,30,30,Norwood,32.900002
332,2019,8,17,15,30,40,Norwood,33.369999
333,2019,8,17,15,30,50,Norwood,32.299999
334,2019,8,17,15,30,60,Norwood,31.75
335,2019,8,17,15,45,0,Norwood,31.309999
336,2019,8,17,15,45,10,Norwood,31.459999
337,2019,8,17,15,45,20,Norwood,29.82
338,2019,8,17,15,45,30,Norwood,31.33
339,2019,8,17,15,45,40,Norwood,31.08
340,2019,8,17,15,45,50,Norwood,30.370001
341,2019,8,17,15,45,60,Norwood,29.200001
342,2019,8,17,15,60,0,Norwood,29.549999
343,2019,8,17,15,60,10,Norwood,31.459999
344,2019,8,17,15,60,20,Norwood,30.82
345,2019,8,17,15,60,30,Norwood,32.040001
346,2019,8,17,15,60,40,Norwood,33.200001
347,2019,8,17,15,60,50,Norwood,35.02
348,2019,8,17,15,60,60,Norwood,34.310001
349,2019,8,17,20,0,0,Norwood,32.68
350,2019,8,17,20,0,10,Norwood,32.509998
351,2019,8,17,20,0,20,Norwood,31.700001
352,2019,8,17,20,0,30,Norwood,32.59
353,2019,8,17,20,0,40,Norwood,33.5
354,2019,8,17,20,0,50,Norwood,34.02
355,2019,8,17,20,0,60,Norwood,34.299999
356,2019,8,17,20,15,0,Norwood,35.880001
357,2019,8,17,20,15,10,Norwood,34.57
358,2019,8,17,20,15,20,Norwood,34.169998
359,2019,8,17,20,15,30,Norwood,34.310001
360,2019,8,17,20,15,40,Norwood,34.110001
361,2019,8,17,20,15,50,Norwood,34.57
362,2019,8,17,20,15,60,Norwood,34.77
363,2019,8,17,20,30,0,Norwood,33.349998
364,2019,8,17,20,30,10,Norwood,33
365,2019,8,17,20,30,20,Norwood,33.790001
366,2019,8,17,20,30,30,Norwood,32.700001
367,2019,8,17,20,30,40,Norwood,33.389999
368,2019,8,17,20,30,50,Norwood,34.48
369,2019,8,17,20,30,60,Norwood,33.459999
370,2019,8,17,20,45,0,Norwood,33.860001
371,2019,8,17,20,45,10,Norwood,33.48
372,2019,8,17,20,45,20,Norwood,32.299999
373,2019,8,17,20,45,30,Norwood,32.91
374,2019,8,17,20,45,40,Norwood,33.150002
375,2019,8,17,20,45,50,Norwood,33.459999
376,2019,8,17,20,45,60,Norwood,32
377,2019,8,17,20,60,0,Norwood,33.57
378,2019,8,17,20,60,10,Norwood,32.330002
379,2019,8,17,20,60,20,Norwood,32.259998
380,2019,8,17,20,60,30,Norwood,31.51
381,2019,8,17,20,60,40,Norwood,33.439999
382,2019,8,17,20,60,50,Norwood,34.439999
383,2019,8,17,20,60,60,Norwood,35.799999
384,2019,8,17,25,0,0,Norwood,35.599998
385,2019,8,17,25,0,10,Norwood,35.66
386,2019,8,17,25,0,20,Norwood,37.57
387,2019,8,17,25,0,30,Norwood,36.77
388,2019,8,17,25,0,40,Norwood,35.330002
389,2019,8,17,25,0,50,Norwood,34.279999
390,2019,8,17,25,0,60,Norwood,35.84
391,2019,8,17,25,15,0,Norwood,33.990002
392,2019,8,17,25,15,10,Norwood,35.169998
393,2019,8,17,25,15,20,Norwood,33.310001
394,2019,8,17,25,15,30,Norwood,33.84
395,2019,8,17,25,15,40,Norwood,33.080002
396,2019,8,17,25,15,50,Norwood,34.59
397,2019,8,17,25,15,60,Norwood,36.169998
398,2019,8,17,25,30,0,Norwood,36.040001
399,2019,8,17,25,30,10,Norwood,34.259998
400,2019,8,17,25,30,20,Norwood,32.259998
401,2019,8,17,25,30,30,Norwood,30.969999
402,2019,8,17,25,30,40,Norwood,29.66
403,2019,8,17,25,30,50,Norwood,28.790001
404,2019,8,17,25,30,60,Norwood,29.35
405,2019,8,17,25,45,0,Norwood,27.389999
406,2019,8,17,25,45,10,Norwood,29.389999
407,2019,8,17,25,45,20,Norwood,28.4
408,2019,8,17,25,45,30,Norwood,30.129999
409,2019,8,17,25,45,40,Norwood,29.4
410,2019,8,17,25,45,50,Norwood,30.24
411,2019,8,17,25,45,60,Norwood,31.24
412,2019,8,17,25,60,0,Norwood,30.93
413,2019,8,17,25,60,10,Norwood,30.17
414,2019,8,17,25,60,20,Norwood,30.969999
415,2019,8,17,25,60,30,Norwood,30.790001
416,2019,8,17,25,60,40,Norwood,32.700001
417,2019,8,17,25,60,50,Norwood,33.5
418,2019,8,17,25,60,60,Norwood,34.700001
419,2019,8,18,0,0,0,Norwood,33.189999
420,2019,8,18,0,0,10,Norwood,32.279999
421,2019,8,18,0,0,20,Norwood,33.73
422,2019,8,18,0,0,30,Norwood,35.080002
423,2019,8,18,0,0,40,Norwood,33.400002
424,2019,8,18,0,0,50,Norwood,32.259998
425,2019,8,18,0,0,60,Norwood,32.5
426,2019,8,18,0,15,0,Norwood,32.950001
427,2019,8,18,0,15,10,Norwood,33.459999
428,2019,8,18,0,15,20,Norwood,32.84
429,2019,8,18,0,15,30,Norwood,32.220001
430,2019,8,18,0,15,40,Norwood,33.48
431,2019,8,18,0,15,50,Norwood,34
432,2019,8,18,0,15,60,Norwood,33.310001
433,2019,8,18,0,30,0,Norwood,33.66
434,2019,8,18,0,30,10,Norwood,32.619999
435,2019,8,18,0,30,20,Norwood,34.299999
436,2019,8,18,0,30,30,Norwood,32.299999
437,2019,8,18,0,30,40,Norwood,33.509998
438,2019,8,18,0,30,50,Norwood,33.970001
439,2019,8,18,0,30,60,Norwood,35.369999
440,2019,8,18,0,45,0,Norwood,36.619999
441,2019,8,18,0,45,10,Norwood,37.84
442,2019,8,18,0,45,20,Norwood,37.369999
443,2019,8,18,0,45,30,Norwood,39.220001
444,2019,8,18,0,45,40,Norwood,37.48
445,2019,8,18,0,45,50,Norwood,37.310001
446,2019,8,18,0,45,60,Norwood,37.220001
447,2019,8,18,0,60,0,Norwood,36.099998
448,2019,8,18,0,60,10,Norwood,36.299999
449,2019,8,18,0,60,20,Norwood,36
450,2019,8,18,0,60,30,Norwood,35.799999
451,2019,8,18,0,60,40,Norwood,36.950001
452,2019,8,18,0,60,50,Norwood,37.369999
453,2019,8,18,0,60,60,Norwood,35.82
454,2019,8,18,5,0,0,Norwood,37.080002
455,2019,8,18,5,0,10,Norwood,38.900002
456,2019,8,18,5,0,20,Norwood,37.310001
457,2019,8,18,5,0,30,Norwood,38.5
458,2019,8,18,5,0,40,Norwood,38.5
459,2019,8,18,5,0,50,Norwood,38.5
460,2019,8,18,5,0,60,Norwood,39.02
461,2019,8,18,5,15,0,Norwood,37.279999
462,2019,8,18,5,15,10,Norwood,38.799999
463,2019,8,18,5,15,20,Norwood,39.73
464,2019,8,18,5,15,30,Norwood,39.84
465,2019,8,18,5,15,40,Norwood,38.57
466,2019,8,18,5,15,50,Norwood,38.66
467,2019,8,18,5,15,60,Norwood,38.310001
468,2019,8,18,5,30,0,Norwood,36.66
469,2019,8,18,5,30,10,Norwood,37.73
470,2019,8,18,5,30,20,Norwood,39.189999
471,2019,8,18,5,30,30,Norwood,37.189999
472,2019,8,18,5,30,40,Norwood,37.150002
473,2019,8,18,5,30,50,Norwood,36.599998
474,2019,8,18,5,30,60,Norwood,34.799999
475,2019,8,18,5,45,0,Norwood,33.200001
476,2019,8,18,5,45,10,Norwood,32.75
477,2019,8,18,5,45,20,Norwood,32.619999
478,2019,8,18,5,45,30,Norwood,30.91
479,2019,8,18,5,45,40,Norwood,29.389999
480,2019,8,18,5,45,50,Norwood,28.91
481,2019,8,18,5,45,60,Norwood,29.129999
482,2019,8,18,5,60,0,Norwood,28.040001
483,2019,8,18,5,60,10,Norwood,27.26
484,2019,8,18,5,60,20,Norwood,28.059999
485,2019,8,18,5,60,30,Norwood,29.99
486,2019,8,18,5,60,40,Norwood,30.309999
487,2019,8,18,5,60,50,Norwood,29.24
488,2019,8,18,5,60,60,Norwood,27.73
489,2019,8,18,10,0,0,Norwood,26.549999
490,2019,8,18,10,0,10,Norwood,26.309999
491,2019,8,18,10,0,20,Norwood,28.110001
492,2019,8,18,10,0,30,Norwood,26.15
493,2019,8,18,10,0,40,Norwood,24.68
494,2019,8,18,10,0,50,Norwood,26.59
495,2019,8,18,10,0,60,Norwood,28.440001
496,2019,8,18,10,15,0,Norwood,27.440001
497,2019,8,18,10,15,10,Norwood,27.08
498,2019,8,18,10,15,20,Norwood,25.1
499,2019,8,18,10,15,30,Norwood,25.35
500,2019,8,18,10,15,40,Norwood,23.84
501,2019,8,18,10,15,50,Norwood,24.26
502,2019,8,18,10,15,60,Norwood,23.620001
503,2019,8,18,10,30,0,Norwood,22.200001
504,2019,8,18,10,30,10,Norwood,22.17
505,2019,8,18,10,30,20,Norwood,21.15
506,2019,8,18,10,30,30,Norwood,20.530001
507,2019,8,18,10,30,40,Norwood,22.040001
508,2019,8,18,10,30,50,Norwood,20.08
509,2019,8,18,10,30,60,Norwood,20.110001
510,2019,8,18,10,45,0,Norwood,21.33
511,2019,8,18,10,45,10,Norwood,22.700001
512,2019,8,18,10,45,20,Norwood,21.110001
513,2019,8,18,10,45,30,Norwood,19.26
514,2019,8,18,10,45,40,Norwood,20.08
515,2019,8,18,10,45,50,Norwood,21.639999
516,2019,8,18,10,45,60,Norwood,22.879999
517,2019,8,18,10,60,0,Norwood,23.42
518,2019,8,18,10,60,10,Norwood,22
519,2019,8,18,10,60,20,Norwood,22.77
520,2019,8,18,10,60,30,Norwood,24.6
521,2019,8,18,10,60,40,Norwood,23.389999
522,2019,8,18,10,60,50,Norwood,25.040001
523,2019,8,18,10,60,60,Norwood,25.299999
524,2019,8,18,15,0,0,Norwood,26.99
525,2019,8,18,15,0,10,Norwood,25.370001
526,2019,8,18,15,0,20,Norwood,25.08
527,2019,8,18,15,0,30,Norwood,26.66
528,2019,8,18,15,0,40,Norwood,27.219999
529,2019,8,18,15,0,50,Norwood,27.42
530,2019,8,18,15,0,60,Norwood,27.879999
531,2019,8,18,15,15,0,Norwood,28.02
532,2019,8,18,15,15,10,Norwood,26.59
533,2019,8,18,15,15,20,Norwood,26.219999
534,2019,8,18,15,15,30,Norwood,26.84
535,2019,8,18,15,15,40,Norwood,26.15
536,2019,8,18,15,15,50,Norwood,27.93
537,2019,8,18,15,15,60,Norwood,26.91
538,2019,8,18,15,30,0,Norwood,28.9
539,2019,8,18,15,30,10,Norwood,27.77
540,2019,8,18,15,30,20,Norwood,28.15
541,2019,8,18,15,30,30,Norwood,28.84
542,2019,8,18,15,30,40,Norwood,29.51
543,2019,8,18,15,30,50,Norwood,31.200001
544,2019,8,18,15,30,60,Norwood,29.73
545,2019,8,18,15,45,0,Norwood,27.93
546,2019,8,18,15,45,10,Norwood,27.84
547,2019,8,18,15,45,20,Norwood,27.799999
548,2019,8,18,15,45,30,Norwood,27.42
549,2019,8,18,15,45,40,Norwood,28.129999
550,2019,8,18,15,45,50,Norwood,28.26
551,2019,8,18,15,45,60,Norwood,29
552,2019,8,18,15,60,0,Norwood,30.969999
553,2019,8,18,15,60,10,Norwood,32.200001
554,2019,8,18,15,60,20,Norwood,31.35
555,2019,8,18,15,60,30,Norwood,32.73
556,2019,8,18,15,60,40,Norwood,31.15
557,2019,8,18,15,60,50,Norwood,32.110001
558,2019,8,18,15,60,60,Norwood,30.129999
559,2019,8,18,20,0,0,Norwood,31.48
560,2019,8,18,20,0,10,Norwood,30.51
561,2019,8,18,20,0,20,Norwood,32.02
562,2019,8,18,20,0,30,Norwood,30.33
563,2019,8,18,20,0,40,Norwood,30.309999
564,2019,8,18,20,0,50,Norwood,29.639999
